Cod, raw	0
Cod, frozen, raw	0
Cod, frozen, grilled	0
Coley, raw	0
Haddock, raw	0
Haddock, steamed	0
Haddock, steamed, weighed with bones and skin	0
Haddock, smoked, steamed	0
Haddock, smoked, steamed, weighed with bones and skin	0
Halibut, raw	0
Lemon sole, raw	0
Lemon sole, steamed	0
Lemon sole, steamed, weighed with bones and skin	0
Plaice, raw	0
Plaice, frozen, steamed	0
Plaice, frozen, steamed, weighed with bones and skin	0
Whiting, steamed	0
Whiting, steamed, weighed with bones and skin	0
Herring, raw	0
Herring, grilled	0
Herring, grilled, weighed with bones and skin	0
Mackerel, fried in blended oil	0
Mackerel, fried in blended oil, weighed with bones and skin	0
Mackerel, smoked	0
Salmon, steamed	0
Salmon, steamed, weighed with bones and skin	0
Salmon, smoked	0
Salmon, red, canned in brine, flesh only, drained	0
Tuna, canned in oil, drained	0
Prawns, boiled	0
Prawns, boiled, weighed with shells	0
Anchovies, canned in oil, drained	0
Mackerel, raw	0
Mackerel, grilled	0
Salmon, raw	0
Salmon, grilled	0
Sardines, canned in brine, drained	0
Sardines, canned in oil, drained	0
Trout, rainbow, grilled	0
Salmon, pink, canned in brine, flesh only, drained	0
Tuna, canned in brine, drained	0
Coley, steamed	0
Coley, steamed, weighed with bones and skin	0
Mackerel, grilled, weighed with bones and skin	0
Salmon, grilled, weighed with bones and skin	0
Salmon, pink, canned in brine, flesh and bones, drained	0
Trout, rainbow, grilled, weighed with bones and skin	0
Compound cooking fat	0
Fat spread (70-80% fat), not polyunsaturated	0
Sesame oil	0
Gelatine	0
Salt	0
Water, distilled	0
Margarine, hard, vegetable fats only	0
Beef, average, trimmed fat, raw	0
Beef, average, fat, cooked	0
Beef, brisket, raw, lean and fat	0
Beef, brisket, boiled, lean and fat	0
Beef, fore-rib/rib-roast, raw, lean and fat	0
Beef, fore-rib/rib-roast, roasted, lean	0
Beef, fore-rib/rib-roast, roasted, lean and fat	0
Beef, silverside, salted, raw, lean	0
Beef, silverside, salted, boiled, lean	0
Beef, silverside, salted, boiled, lean and fat	0
Beef, sirloin joint, roasted, lean	0
Beef, sirloin joint, roasted, lean and fat	0
Beef, sirloin steak, raw, lean and fat	0
Beef, stewing steak, raw, lean and fat	0
Beef, stewing steak, stewed, lean and fat	0
Beef, topside, raw, lean and fat	0
Beef, topside, roasted medium-rare, lean	0
Beef, topside, roasted medium-rare, lean and fat	0
Lamb, average, trimmed fat, raw	0
Lamb, average, trimmed fat, cooked	0
Lamb, best end neck cutlets, raw, lean and fat	0
Lamb, best end neck cutlets, grilled, lean	0
Lamb, best end neck cutlets, grilled, lean, weighed with fat and bone	0
Lamb, best end neck cutlets, grilled, lean and fat	0
Lamb, best end neck cutlets, grilled, lean and fat, weighed with bone	0
Lamb, breast, raw, lean and fat	0
Lamb, breast, roasted, lean	0
Lamb, breast, roasted, lean and fat	0
Lamb, loin chops, grilled, lean	0
Lamb, loin chops, grilled, lean, weighed with fat and bone	0
Lamb, shoulder, raw, lean and fat	0
Lamb, shoulder, whole, roasted, lean	0
Lamb, shoulder, whole, roasted, lean and fat	0
Lamb, stewing, raw, lean and fat	0
Lamb, stewing, stewed, lean	0
Lamb, stewing, stewed, lean and fat	0
Pork, trimmed lean, raw	0
Pork, trimmed fat, raw	0
Pork, fat, cooked	0
Pork, belly joint/slices, raw, lean and fat, weighed with bone	0
Pork, belly joint/slices, grilled, lean and fat	0
Pork, diced, raw, lean	0
Pork, loin chops, raw, lean and fat	0
Pork, loin chops, grilled, lean	0
Pork, loin chops, grilled, lean and fat	0
Chicken, dark meat, raw	0
Chicken, light meat, raw	0
Chicken, corn-fed, raw, dark meat only	0
Chicken, corn-fed, raw, light meat only	0
Chicken, breast, casseroled, meat and skin	0
Chicken, thighs, casseroled, meat and skin	0
Chicken, wing quarter, casseroled, meat and skin	0
Chicken, dark meat, roasted	0
Chicken, light meat, roasted	0
Chicken, meat, average, roasted	0
Chicken, skin, dry, roasted/grilled	0
Turkey, dark meat, raw	0
Turkey, light meat, raw	0
Turkey, meat, average, raw	0
Turkey, dark meat, roasted	0
Turkey, light meat, roasted	0
Turkey, meat, average, roasted	0
Duck, raw, meat, fat and skin	0
Duck, roasted, meat only	0
Duck, roasted, meat, fat and skin	0
Goose, roasted, meat, fat and skin	0
Grouse, roasted, meat only	0
Grouse, roasted, meat only, weighed with bone	0
Hare, stewed, meat only	0
Hare, stewed, meat only, weighed with bone	0
Partridge, roasted, meat only	0
Partridge, roasted, meat only, weighed with bone	0
Pheasant, roasted, meat only	0
Pheasant, roasted, meat only, weighed with bone	0
Pigeon, roasted, meat only	0
Pigeon, roasted, meat only, weighed with bone	0
Rabbit, raw, meat only	0
Rabbit, stewed, meat only	0
Rabbit, stewed, meat only, weighed with bone	0
Venison, raw	0
Heart, lamb, raw	0
Heart, ox, raw	0
Heart, ox, stewed	0
Heart, pig, raw	0
Kidney, lamb, raw	0
Kidney, ox, raw	0
Kidney, ox, stewed	0
Kidney, pig, raw	0
Kidney, pig, stewed	0
Liver, chicken, raw	0
Liver, lamb, raw	0
Oxtail, stewed	0
Sweetbread, lamb, raw	0
Sweetbread, lamb, fried	0
Tongue, lamb, raw	0
Tongue, ox, pickled, raw	0
Tongue, ox, pickled, stewed	0
Tongue, sheep, stewed	0
Tripe, dressed, raw	0
Pork, trotters and tails, boiled	0
Beef, average, trimmed lean, raw	0
Beef, mince, raw	0
Beef, mince, stewed	0
Beef, rump steak, lean and fat, raw	0
Beef, rump steak, lean and fat, fried	0
Beef, rump steak, lean only, fried	0
Beef, rump steak, lean only, grilled	0
Lamb, lean only, raw, average	0
Lamb, loin chops, lean and fat, raw	0
Lamb, loin chops, lean and fat, grilled	0
Lamb, leg, average, lean and fat, raw	0
Lamb, leg, whole, lean only, roast, medium	0
Lamb, leg, whole, lean and fat, roast, medium	0
Lamb, mince, raw	0
Pork, diced, casseroled, lean only	0
Pork, leg joint, lean and fat, raw	0
Pork, leg joint, lean only, roast, medium	0
Pork, leg joint, lean and fat, roast, medium	0
Veal, escalope, raw	0
Veal, escalope, fried	0
Chicken, meat only, average, raw	0
Duck, raw, meat only	0
Venison, roast	0
Heart, lamb, roasted	0
Kidney, lamb, fried	0
Lamb, loin chops, grilled, lean and fat, weighed with bone	0
Lamb, loin chops, raw, lean and fat, weighed with bone	0
Pork, leg joint, raw, lean and fat, weighed with bone	0
Bacon rashers, back, raw	0
Bacon rashers, back, grilled	0
Bacon rashers, middle, raw	0
Bacon rashers, middle, fried	0
Bacon rashers, middle, grilled	0
Bacon rashers, streaky, raw	0
Bacon rashers, streaky, fried	0
Bacon rashers, streaky, grilled	0
Bacon loin steaks, grilled	0
Ham, gammon joint, raw	0
Ham, gammon joint, boiled	0
Ham, gammon rashers, grilled	0
Brawn	0
Beefburgers, chilled/frozen, raw	0
Tripe, dressed, stewed	0
Cheese, cheddar, English	0.1
Cheese, hard, average	0.1
Cheese, Stilton, blue	0.1
Cheese, white, average	0.1
Dairy spread (40% fat)	0.1
Ham, canned	0.1
Mushrooms, common, fried in butter	0.2
Margarine, soft, polyunsaturated	0.2
Red wine	0.2
Mushrooms, common, fried in corn oil	0.3
Coffee, infusion, average	0.3
Duck, crispy, chinese style	0.3
Mushrooms, common, raw	0.4
Mushrooms, common, boiled in salted water	0.4
Soya, non-dairy alternative to milk, unsweetened	0.5
Spinach, frozen, boiled in unsalted water	0.5
Grillsteaks, beef, chilled/frozen, grilled	0.5
White wine, dry	0.6
Vinegar	0.6
Butter	0.6
Tofu, soya bean, steamed	0.7
Asparagus, boiled, weighed as served	0.7
Rhubarb, stewed without sugar	0.7
Rhubarb, raw	0.8
Sesame seeds	0.8
Fat spread (70% fat), polyunsaturated	0.8
Cheese, Parmesan, fresh	0.9
Chicory, raw	0.9
Tahini paste	0.9
Cheese, goats milk soft, full fat, white rind	1
Curly kale, boiled in salted water	1
Margarine, hard, animal and vegetable fats	1
Margarine, soft, not polyunsaturated	1
Yeast, bakers, compressed	1
Corned beef, canned	1
Ham	1
Pilchards, canned in tomato sauce	1.1
Pate, liver	1.1
Avocado, average, weighed with skin and stone	1.3
Brazil nuts, weighed with shells	1.3
Walnuts, weighed with shells	1.3
Fat spread (40% fat), not polyunsaturated	1.3
Ham and pork, chopped, canned	1.3
Cheese, Feta	1.4
Curly kale, raw	1.4
Sherry, dry	1.4
Cucumber, raw	1.5
Fennel, Florence, boiled in salted water	1.5
Spinach, raw	1.5
Beer, mild, draught	1.5
